Frame,Driver,Speed,Sector,Lap
1,VETTEL,262,Sector 3,Ql
101,VETTEL,304,Sector 1,Ql
201,VETTEL,213,Sector 1,Ql
301,VETTEL,185,Sector 1,Ql
401,VETTEL,274,Sector 1,Ql
501,VETTEL,309,Sector 1,Ql
601,VETTEL,314,Sector 1,Ql
701,VETTEL,84,Sector 2,Ql
801,VETTEL,148,Sector 2,Ql
901,VETTEL,257,Sector 2,Ql
1001,VETTEL,301,Sector 2,Ql
1101,VETTEL,222,Sector 2,Ql
1201,VETTEL,122,Sector 2,Ql
1301,VETTEL,234,Sector 2,Ql
1401,VETTEL,272,Sector 2,Ql
1501,VETTEL,207,Sector 2,Ql
1601,VETTEL,242,Sector 3,Ql
1701,VETTEL,247,Sector 3,Ql
1801,VETTEL,280,Sector 3,Ql
1901,VETTEL,297,Sector 3,Ql
2001,VETTEL,247,Sector 3,Ql
2101,VETTEL,210,Sector 3,Ql
2201,VETTEL,273,Sector 3,Ql
2301,VETTEL,297,Sector 1,Ql
